JAPONICA NIPPONBARE POSITIONS	ASSAY ID	ACCESSION	SUBPOPULATION
MAKALIOKA STANDARD::IRGC 12768-1::[IRIS 313-8595]	IRIS 313-8595	IRGC 126240	ind2
SI HAO NDURIA::IRGC 66649-1::[IRIS 313-8608]	IRIS 313-8608	IRGC 132385	ind3
DAJA::IRGC 17440-1::[IRIS 313-8643]	IRIS 313-8643	IRGC 131935	ind3
KOLITONDO::IRGC 66497-1::[IRIS 313-8681]	IRIS 313-8681		ind3
JOTA BITCHI 1::IRGC 77253-1::[IRIS 313-8683]	IRIS 313-8683	IRGC 135532	ind2
DA 7::[IRIS 313-8703]	IRIS 313-8703	IRGC 124432	ind2
NELI::IRGC 66603-1::[IRIS 313-8713]	IRIS 313-8713	IRGC 135538	ind3
PULUT BARAYA::IRGC 27393-1::[IRIS 313-8725]	IRIS 313-8725	IRGC 126262	ind3
T 315::IRGC 54792-1::[IRIS 313-8727]	IRIS 313-8727	IRGC 126280	ind2
NOLOS::IRGC 77285-1::[IRIS 313-8733]	IRIS 313-8733		ind2
HNANWA::IRGC 33118-1::[IRIS 313-8751]	IRIS 313-8751	IRGC 126209	ind3
SIDIK::IRGC 66643-1::[IRIS 313-8767]	IRIS 313-8767		ind3
TAPANG::IRGC 13361-1::[IRIS 313-8781]	IRIS 313-8781		ind3
KATUNG::IRGC 71536-1::[IRIS 313-8811]	IRIS 313-8811	IRGC 131940	ind3
SIMET 2::IRGC 25734-1::[IRIS 313-8833]	IRIS 313-8833	IRGC 126142	ind3
KHAO PLAH LAI NAK::IRGC 65941-1::[IRIS 313-8870]	IRIS 313-8870		ind3
AGAI 1::IRGC 24532-1::[IRIS 313-8922]	IRIS 313-8922		ind2
IE MATA CICEM::IRGC 66562-1::[IRIS 313-8978]	IRIS 313-8978		ind3
TJERE SUGI::IRGC 16650-1::[IRIS 313-9005]	IRIS 313-9005	IRGC 132376	ind3
PATNAI 31-675::IRGC 38145-1::[IRIS 313-9049]	IRIS 313-9049		ind2
BIDAPIK::IRGC 43354-1::[IRIS 313-9054]	IRIS 313-9054	IRGC 131933	ind3
CANTIK PAUN::IRGC 66538-1::[IRIS 313-9097]	IRIS 313-9097		ind3
SI MERIA::IRGC 66659-1::[IRIS 313-9098]	IRIS 313-9098		ind3
MANUS::IRGC 71570-1::[IRIS 313-9102]	IRIS 313-9102		ind3
BAJAR KUNING PAHIT::IRGC 17186-1::[IRIS 313-9117]	IRIS 313-9117	IRGC 131931	ind3
DOC PHUNG D 12::IRGC 10234-1::[IRIS 313-9131]	IRIS 313-9131	IRGC 135749	ind3
TONG MAH::IRGC 65577-1::[IRIS 313-9288]	IRIS 313-9288		ind3
AUS 78-62::IRGC 69456-1::[IRIS 313-9294]	IRIS 313-9294	IRGC 131929	ind2
PUTEH KACA::IRGC 66614-1::[IRIS 313-9310]	IRIS 313-9310	IRGC 131946	ind3
KERITING TINGGI::IRGC 19972-1::[IRIS 313-9329]	IRIS 313-9329	IRGC 131941	ind3
BHASAMANIK::IRGC 46954-1::[IRIS 313-9360]	IRIS 313-9360		ind2
DUDHSWAR 15-141::IRGC 37951-1::[IRIS 313-9397]	IRIS 313-9397		ind2
PA FADAYA::IRGC 58524-1::[IRIS 313-9402]	IRIS 313-9402	IRGC 131944	indx
LEUANG SAWED::IRGC 78268-1::[IRIS 313-9406]	IRIS 313-9406		ind3
RTS 16::IRGC 8235-1::[IRIS 313-9429]	IRIS 313-9429	IRGC 126309	indx
ARC 15845::IRGC 42151-1::[IRIS 313-9619]	IRIS 313-9619		indx
AGEPDAUJSECAN::IRGC 49361-1::[IRIS 313-9685]	IRIS 313-9685		indx
UNGGUL::IRGC 71644-1::[IRIS 313-9694]	IRIS 313-9694	IRGC 131951	ind3
SERAUP 27::IRGC 1-1::[IRIS 313-9699]	IRIS 313-9699	IRGC 132433	ind3
MEKENZIE SMALL::IRGC 49895-1::[IRIS 313-9935]	IRIS 313-9935	IRGC 126167	ind2
SOLOMON RED RICE::IRGC 50950-1::[IRIS 313-9944]	IRIS 313-9944	IRGC 126312	indx
EPEAL 102::IRGC 78698-1::[IRIS 313-10220]	IRIS 313-10220	IRGC 126203	indx
ALTAMIRA 9::IRGC 116953-1::[IRIS 313-10257]	IRIS 313-10257	IRGC 127031	indx
FONAIAP 2::IRGC 116985-1::[IRIS 313-10268]	IRIS 313-10268	IRGC 127072	indx
3210::IRGC 116950-1::[IRIS 313-10298]	IRIS 313-10298	IRGC 127030	ind1B
B 4414 F-MR-6-3::IRGC 117310-1::[IRIS 313-10332]	IRIS 313-10332	IRGC 126044	indx
BR 4973-34-6-6::IRGC 117317-1::[IRIS 313-10340]	IRIS 313-10340	IRGC 127040	indx
IR 52718-B-B-6-B-B-1-1::IRGC 117334-1::[IRIS 313-10357]	IRIS 313-10357	IRGC 126024	indx
IR 77390-1-6-4-19-1-B::IRGC 117303-1::[IRIS 313-10392]	IRIS 313-10392	IRGC 127075	ind1B
IRGA 318-11-9-2A::IRGC 117340-1::[IRIS 313-10398]	IRIS 313-10398	IRGC 126030	ind1B
WAR 87-7-A10-2-B-B-B-1::IRGC 117362-1::[IRIS 313-10422]	IRIS 313-10422		indx
CODE NO 31323::IRGC 46907-1::[IRIS 313-9190]	IRIS 313-9190	IRGC 126148	indx
MAE MAI LUD NI::IRGC 66065-1::[IRIS 313-9062]	IRIS 313-9062	IRGC 125831	ind3
PAOTSUPAGAIAHON::IRGC 17072-1::[IRIS 313-8873]	IRIS 313-8873	IRGC 125867	admix
TAMASHIRO HIKARI::IRGC 74534-1::[IRIS 313-10077]	IRIS 313-10077	IRGC 125917	indx
DAM::IRGC 23710-1::[IRIS 313-8580]	IRIS 313-8580	IRGC 126197	subtrop
ORIONE::GERVEX 333-C1::[IRIS 313-8068]	IRIS 313-8068	IRGC 122184	indx
ARIANA::GERVEX 396-C1::[IRIS 313-8069]	IRIS 313-8069	IRGC 121966	indx
WAS 63-22-5-9-10-1::C1::[IRIS 313-7832]	IRIS 313-7832	IRGC 122297	ind1B
WAS 173-B-B-6-2-2::C1::[IRIS 313-7808]	IRIS 313-7808	IRGC 122285	ind1B
DANAU LAUT TAWAR::C1::[IRIS 313-7668]	IRIS 313-7668	IRGC 122029	indx
SEQ 93::C1::[IRIS 313-7635]	IRIS 313-7635	IRGC 122247	ind1B
MADINIKA 1329::GERVEX 8366-C1::[IRIS 313-7725]	IRIS 313-7725	IRGC 124407	ind2
H 15-23-DA::C1::[IRIS 313-7681]	IRIS 313-7681	IRGC 122076	indx
WAS 203-B-B-2-4-1::C1::[IRIS 313-7819]	IRIS 313-7819	IRGC 122289	ind1B
IR 1561-228-3-3::IRGC 32627-C1::[IRIS 313-7684]	IRIS 313-7684	IRGC 122088	indx
IR 22::IRGC 11356-C1::[IRIS 313-7688]	IRIS 313-7688	IRGC 122091	ind1B
IR 28::IRGC 30411-C1::[IRIS 313-7691]	IRIS 313-7691	IRGC 122094	ind1B
NONA BOKRA::IRGC 22710-C1::[IRIS 313-7736]	IRIS 313-7736	IRGC 122181	ind2
WAS 33-B-B-15-1-4-5::C1::[IRIS 313-7826]	IRIS 313-7826	IRGC 122292	ind1B
WAS 199-B-1-2-1::C1::[IRIS 313-7816]	IRIS 313-7816	IRGC 122288	ind1B
ANGIFOTSY 685::GERVEX 4717-C1::[IRIS 313-7638]	IRIS 313-7638	IRGC 121963	indx
WAS 170-B-B-1-1::C1::[IRIS 313-7807]	IRIS 313-7807	IRGC 122284	ind1B
IR 57920-AC 25-2-B::C1::[IRIS 313-7698]	IRIS 313-7698	IRGC 122098	indx
IR 2344-P1 PB-9-3-2B::IRGC 39317-C1::[IRIS 313-7690]	IRIS 313-7690	IRGC 122093	indx
ADNY 11::C1::[IRIS 313-7636]	IRIS 313-7636	IRGC 126992	ind1B
SEBERANG MR 77::C1::[IRIS 313-7773]	IRIS 313-7773	IRGC 124421	ind1B
IR 2307-247-2-2-3::IRGC 77982-C1::[IRIS 313-7689]	IRIS 313-7689	IRGC 122092	ind1B
IR 55411-50::IRTP 16682-C1::[IRIS 313-7696]	IRIS 313-7696	IRGC 124394	indx
SAMBALA MALO::C1::[IRIS 313-7770]	IRIS 313-7770	IRGC 122239	ind1B
SALUMPIKIT::IRTP 4777-C1::[IRIS 313-7769]	IRIS 313-7769	IRGC 122236	indx
IR 19746-28-2-2::IRGC 78072-C1::[IRIS 313-7685]	IRIS 313-7685	IRGC 122089	ind1B
WAS 21-B-B-20-4-3-3::C1::[IRIS 313-7824]	IRIS 313-7824	IRGC 122291	ind1B
WAS 198-B-3-1-3::C1::[IRIS 313-7815]	IRIS 313-7815	IRGC 122287	ind1B
TSIPALA 1231::GERVEX 8418-C1::[IRIS 313-7792]	IRIS 313-7792	IRGC 124425	indx
WAS 206-B-B-2-2-1::C1::[IRIS 313-7820]	IRIS 313-7820	IRGC 122290	ind1B
B 6144-MR-6-0-0::C1::[IRIS 313-7641]	IRIS 313-7641	IRGC 121974	indx
UPL RI 7::IRTP 9897-C1::[IRIS 313-7797]	IRIS 313-7797	IRGC 122272	indx
SAHEL 108::C1::[IRIS 313-7766]	IRIS 313-7766	IRGC 122232	ind1B
IR 72967-12-2-3::C1::[IRIS 313-7911]	IRIS 313-7911	IRGC 122111	ind1B
CUIABANA::IRTP 17401-C1::[IRIS 313-7870]	IRIS 313-7870	IRGC 122027	japx
TSIPALA MENA 626::GERVEX 5392-C1::[IRIS 313-7795]	IRIS 313-7795	IRGC 124427	ind2
IR 71525-19-1-1::C1::[IRIS 313-7909]	IRIS 313-7909	IRGC 122110	trop
KOGONI 91-1::C1::[IRIS 313-7719]	IRIS 313-7719	IRGC 122140	indx
CNA 4081::GERVEX 1494-C1::[IRIS 313-8161]	IRIS 313-8161	IRGC 122017	ind1B
GAMBIAKA::GERVEX 7920-C1::[IRIS 313-7620]	IRIS 313-7620	IRGC 124392	ind3
WAS 174-B-3-5::C1::[IRIS 313-7809]	IRIS 313-7809	IRGC 122286	indx
GIZA 178::GERVEX 1681-C1::[IRIS 313-8212]	IRIS 313-8212	IRGC 122060	indx
C 166-135::IRGC 50633-1::[IRIS 313-11431]	IRIS 313-11431	IRGC 127244	ind3
ISWAR KORA::IRGC 50674-1::[IRIS 313-11432]	IRIS 313-11432	IRGC 127443	admix
MR 136-1::IRGC 50707-1::[IRIS 313-11433]	IRIS 313-11433	IRGC 127635	ind1A
CAMPECHE A 79::IRGC 51102-1::[IRIS 313-11437]	IRIS 313-11437	IRGC 127246	ind1B
ZACATEPEC A 79::IRGC 51116-1::[IRIS 313-11438]	IRIS 313-11438	IRGC 127909	indx
ARC 18502::IRGC 51749-2::[IRIS 313-11442]	IRIS 313-11442	IRGC 132321	indx
ARC 18533::IRGC 51756-1::[IRIS 313-11443]	IRIS 313-11443	IRGC 127161	indx
NCS 102::IRGC 51854-1::[IRIS 313-11445]	IRIS 313-11445	IRGC 127653	ind2
NAPDAI::IRGC 52009-1::[IRIS 313-11446]	IRIS 313-11446	IRGC 127647	ind2
BARAMANJ::IRGC 52067-1::[IRIS 313-11448]	IRIS 313-11448	IRGC 127209	ind2
ZINYA KOLAMBA::IRGC 52402-1::[IRIS 313-11453]	IRIS 313-11453	IRGC 127916	ind2
CIPPI::IRGC 52415-1::[IRIS 313-11455]	IRIS 313-11455	IRGC 128268	aus
KARAHANI::IRGC 52664-1::[IRIS 313-11458]	IRIS 313-11458	IRGC 128333	aus
MACAPAGAL::IRGC 52927-1::[IRIS 313-11467]	IRIS 313-11467	IRGC 128372	ind3
BANGBANG::IRGC 53131-1::[IRIS 313-11472]	IRIS 313-11472		ind3
LOCAL::IRGC 53300-1::[IRIS 313-11478]	IRIS 313-11478	IRGC 127572	ind2
PR 106::IRGC 53418-1::[IRIS 313-11480]	IRIS 313-11480	IRGC 127742	ind1B
RAMINAD (GERMAN)::IRGC 53058-1::[IRIS 313-11485]	IRIS 313-11485		ind3
ARC 15480::IRGC 53799-1::[IRIS 313-11490]	IRIS 313-11490	IRGC 127160	indx
BIR BAHADUR::IRGC 53889-1::[IRIS 313-11491]	IRIS 313-11491	IRGC 127230	ind2
AR 133::IRGC 53942-1::[IRIS 313-11493]	IRIS 313-11493	IRGC 127126	indx
SKK::IRGC 54356-1::[IRIS 313-11500]	IRIS 313-11500	IRGC 127816	ind2
K 15591-4::IRGC 55043-1::[IRIS 313-11506]	IRIS 313-11506	IRGC 127470	indx
PAWNG AEW 1::IRGC 55263-1::[IRIS 313-11508]	IRIS 313-11508	IRGC 127722	ind3
PRADOO DAENG::IRGC 55265-1::[IRIS 313-11509]	IRIS 313-11509	IRGC 132035	ind3
A 69-1::IRGC 55305-1::[IRIS 313-11510]	IRIS 313-11510	IRGC 127102	indx
OYAK PAKANG::IRGC 55422-1::[IRIS 313-11512]	IRIS 313-11512	IRGC 127693	indx
CHATO::IRGC 55825-1::[IRIS 313-11513]	IRIS 313-11513	IRGC 127269	ind1B
ADIALLO::IRGC 56264-1::[IRIS 313-11523]	IRIS 313-11523	IRGC 127106	indx
ZO::IRGC 56914-1::[IRIS 313-11528]	IRIS 313-11528	IRGC 127917	ind3
JAO KHAO::IRGC 57046-1::[IRIS 313-11530]	IRIS 313-11530	IRGC 131993	ind3
J 6 IR 520 (WC 693)::IRGC 57600-1::[IRIS 313-11538]	IRIS 313-11538	IRGC 127447	ind1B
BKN BR 1031-78-5-4::IRGC 55927-1::[IRIS 313-11515]	IRIS 313-11515	IRGC 127231	indx
LINPAN CHAW::IRGC 58087-1::[IRIS 313-11544]	IRIS 313-11544	IRGC 135570	indx
MOE GAUNG PYU::IRGC 58120-1::[IRIS 313-11545]	IRIS 313-11545	IRGC 127628	indx
NGA CHAN HMWE::IRGC 58146-1::[IRIS 313-11546]	IRIS 313-11546	IRGC 127672	indx
SHWE SABA::IRGC 58206-1::[IRIS 313-11547]	IRIS 313-11547	IRGC 135580	indx
TAUNGYA SABA::IRGC 58226-1::[IRIS 313-11549]	IRIS 313-11549	IRGC 128483	indx
IR 3839-1::IRGC 55946-1::[IRIS 313-11516]	IRIS 313-11516	IRGC 127437	indx
PA RABICHINA::IRGC 58609-1::[IRIS 313-11554]	IRIS 313-11554	IRGC 132291	ind3
PA WOON::IRGC 58656-1::[IRIS 313-11555]	IRIS 313-11555	IRGC 135578	indx
TUBMAN::IRGC 58682-1::[IRIS 313-11556]	IRIS 313-11556	IRGC 132051	ind3
NULI::IRGC 58824-1::[IRIS 313-11558]	IRIS 313-11558	IRGC 127684	ind2
BANGLA::IRGC 58876-1::[IRIS 313-11561]	IRIS 313-11561	IRGC 128238	ind2
IR 4432-28-5::IRGC 55952-1::[IRIS 313-11517]	IRIS 313-11517	IRGC 127438	ind1B
BIJULI BATI::IRGC 58917-1::[IRIS 313-11563]	IRIS 313-11563	IRGC 127227	ind2
KUSUM KATIKI::IRGC 59099-1::[IRIS 313-11565]	IRIS 313-11565	IRGC 127536	ind2
MOONOR::IRGC 59136-1::[IRIS 313-11566]	IRIS 313-11566		ind2
GENG 77-4::IRGC 59321-1::[IRIS 313-11570]	IRIS 313-11570	IRGC 127383	indx
BAI MI TIE QIU::IRGC 59414-1::[IRIS 313-11572]	IRIS 313-11572	IRGC 127201	ind1A
GAO LIANG ZAO::IRGC 59563-1::[IRIS 313-11573]	IRIS 313-11573	IRGC 127379	indx
LANG QIAN CHE::IRGC 59730-1::[IRIS 313-11577]	IRIS 313-11577	IRGC 127551	ind1A
SHAN GU::IRGC 59870-1::[IRIS 313-11579]	IRIS 313-11579	IRGC 127797	ind1A
TAI ZHOU XIAN::IRGC 59912-1::[IRIS 313-11580]	IRIS 313-11580	IRGC 127840	indx
ACC 1286::IRGC 60116-1::[IRIS 313-11585]	IRIS 313-11585	IRGC 127104	ind1A
MR 69::IRGC 60188-1::[IRIS 313-11588]	IRIS 313-11588	IRGC 127636	ind3
PULUT MERAH 2::IRGC 60427-1::[IRIS 313-11591]	IRIS 313-11591	IRGC 132293	admix
BHAINSA MUNDARIYA::IRGC 60893-1::[IRIS 313-11596]	IRIS 313-11596	IRGC 127221	indx
GODADANI::IRGC 60944-1::[IRIS 313-11598]	IRIS 313-11598	IRGC 127387	admix
KOTODESHI::IRGC 60982-1::[IRIS 313-11600]	IRIS 313-11600	IRGC 128353	ind2
TAN NONG::IRGC 56126-1::[IRIS 313-11521]	IRIS 313-11521	IRGC 127847	indx
BOKDEL::IRGC 61085-1::[IRIS 313-11606]	IRIS 313-11606	IRGC 127233	ind2
MANARE (PHOM)::IRGC 61437-1::[IRIS 313-11615]	IRIS 313-11615	IRGC 132408	ind3
UPRH 265::IRGC 61689-1::[IRIS 313-11621]	IRIS 313-11621	IRGC 127877	indx
JUAN YE LAI::IRGC 61825-1::[IRIS 313-11622]	IRIS 313-11622	IRGC 127467	ind1A
ANADI WHITE::IRGC 61897-1::[IRIS 313-11624]	IRIS 313-11624	IRGC 127122	ind1A
HOLDIGANTHI::IRGC 61105-1::[IRIS 313-11607]	IRIS 313-11607	IRGC 127411	ind2
KARISHNABELI::IRGC 61979-1::[IRIS 313-11628]	IRIS 313-11628	IRGC 127494	admix
NCS 331::IRGC 62247-1::[IRIS 313-11638]	IRIS 313-11638	IRGC 127656	ind2
NCS 349::IRGC 62257-1::[IRIS 313-11639]	IRIS 313-11639	IRGC 127657	indx
NCS 458::IRGC 62290-1::[IRIS 313-11640]	IRIS 313-11640	IRGC 127658	ind2
NCS 477::IRGC 62299-1::[IRIS 313-11641]	IRIS 313-11641	IRGC 127659	ind2
MAE HAWM::IRGC 61283-1::[IRIS 313-11609]	IRIS 313-11609	IRGC 127587	ind3
NCS 766::IRGC 62478-1::[IRIS 313-11645]	IRIS 313-11645	IRGC 127664	ind2
NCS 771 A::IRGC 62483-1::[IRIS 313-11646]	IRIS 313-11646	IRGC 127665	ind2
NCS 809 A::IRGC 62502-1::[IRIS 313-11647]	IRIS 313-11647	IRGC 127666	ind2
NCS 830::IRGC 62518-1::[IRIS 313-11648]	IRIS 313-11648	IRGC 127667	ind2
NCS 901 A::IRGC 62568-1::[IRIS 313-11650]	IRIS 313-11650	IRGC 127668	ind2
EX WUKARI (WILD)::IRGC 63214-1::[IRIS 313-11657]	IRIS 313-11657		ind2
CUN GU NUO::IRGC 63576-1::[IRIS 313-11664]	IRIS 313-11664	IRGC 127288	indx
LONG GE 33::IRGC 63705-1::[IRIS 313-11666]	IRIS 313-11666	IRGC 127573	indx
LUO AI ZAO 3::IRGC 63730-1::[IRIS 313-11667]	IRIS 313-11667	IRGC 127580	ind1A
RONG DAO 4::IRGC 63820-1::[IRIS 313-11668]	IRIS 313-11668	IRGC 127771	ind1A
F 478::IRGC 63882-1::[IRIS 313-11669]	IRIS 313-11669	IRGC 131986	indx
E MOOM::IRGC 64291-1::[IRIS 313-11676]	IRIS 313-11676	IRGC 127359	ind3
E NAWN KHAO::IRGC 64293-1::[IRIS 313-11677]	IRIS 313-11677	IRGC 128286	ind3
E PLUAK::IRGC 64297-1::[IRIS 313-11678]	IRIS 313-11678	IRGC 127360	ind3
GASET BOW::IRGC 64316-1::[IRIS 313-11679]	IRIS 313-11679	IRGC 127380	ind3
KHAO BUN MI::IRGC 64366-2::[IRIS 313-11680]	IRIS 313-11680	IRGC 132346	ind3
KHAO' PAWM::IRGC 64416-2::[IRIS 313-11681]	IRIS 313-11681	IRGC 132426	ind3
MA EUE::IRGC 64502-1::[IRIS 313-11682]	IRIS 313-11682	IRGC 127588	ind3
NIAW KHIAW NGOO::IRGC 64563-1::[IRIS 313-11683]	IRIS 313-11683	IRGC 127677	ind3
OB CHUEY::IRGC 64568-1::[IRIS 313-11684]	IRIS 313-11684	IRGC 132021	ind3
SA GAE::IRGC 64613-1::[IRIS 313-11687]	IRIS 313-11687	IRGC 132297	ind3
SIA MOO::IRGC 64629-1::[IRIS 313-11688]	IRIS 313-11688	IRGC 135581	ind3
CHIAYI WU-K'O::IRGC 64974-1::[IRIS 313-11692]	IRIS 313-11692	IRGC 127273	ind1A
CHING CH'UNG::IRGC 65002-1::[IRIS 313-11693]	IRIS 313-11693	IRGC 127278	indx
CHING LIU::IRGC 65018-1::[IRIS 313-11694]	IRIS 313-11694	IRGC 127279	indx
HSIN-T'AO YUAN CHING YU::IRGC 65074-1::[IRIS 313-11695]	IRIS 313-11695	IRGC 127421	ind1A
KHAO YAI GUANG::IRGC 65972-1::[IRIS 313-11708]	IRIS 313-11708	IRGC 127518	ind3
LEUANG KHAJAWN::IRGC 66014-1::[IRIS 313-11709]	IRIS 313-11709	IRGC 132010	ind3
LEUANG MAI::IRGC 66019-2::[IRIS 313-11710]	IRIS 313-11710	IRGC 134992	ind3
ITA 245::IRGC 66288-1::[IRIS 313-11713]	IRIS 313-11713	IRGC 127445	ind3
JATI MANI::IRGC 66565-1::[IRIS 313-11717]	IRIS 313-11717	IRGC 127450	indx
DAW NOK KAEN::IRGC 65548-1::[IRIS 313-11700]	IRIS 313-11700	IRGC 127306	ind3
GAEW DAENG::IRGC 66707-1::[IRIS 313-11721]	IRIS 313-11721	IRGC 127372	ind3
KABERI::IRGC 66801-1::[IRIS 313-11722]	IRIS 313-11722	IRGC 128327	indx
DISSIGBE::IRGC 66916-1::[IRIS 313-11723]	IRIS 313-11723	IRGC 127320	ind2
KONYAN::IRGC 66931-1::[IRIS 313-11724]	IRIS 313-11724	IRGC 127531	ind3
GUANG QING 334::IRGC 67132-1::[IRIS 313-11726]	IRIS 313-11726	IRGC 127393	ind1A
LUO SI ZHAN::IRGC 67211-1::[IRIS 313-11728]	IRIS 313-11728	IRGC 127581	ind3
MEI LIU ZAO 5::IRGC 67231-1::[IRIS 313-11729]	IRIS 313-11729	IRGC 127622	indx
QING ER XIAO 2::IRGC 67255-1::[IRIS 313-11730]	IRIS 313-11730	IRGC 127753	indx
QING TAI AI::IRGC 67273-1::[IRIS 313-11731]	IRIS 313-11731	IRGC 127754	indx
QING ZAO 3::IRGC 67281-1::[IRIS 313-11732]	IRIS 313-11732	IRGC 127755	ind1A
SHUANG BAI AI 2::IRGC 67309-1::[IRIS 313-11733]	IRIS 313-11733	IRGC 127801	ind1A
SI CHAO 1::IRGC 67335-1::[IRIS 313-11734]	IRIS 313-11734	IRGC 127803	ind1A
YI LI ZHONG::IRGC 67382-1::[IRIS 313-11735]	IRIS 313-11735	IRGC 127904	indx
UGAGA::IRGC 67604-1::[IRIS 313-11740]	IRIS 313-11740	IRGC 127872	indx
HERATH BANDA::IRGC 67630-1::[IRIS 313-11741]	IRIS 313-11741	IRGC 127407	ind2
CHHOTI MASHINO::IRGC 67830-1::[IRIS 313-11743]	IRIS 313-11743	IRGC 127272	aro
AI JIAO AO FAN ZI::IRGC 67871-1::[IRIS 313-11744]	IRIS 313-11744	IRGC 127114	indx
AN FU ZHAN::IRGC 67878-1::[IRIS 313-11745]	IRIS 313-11745	IRGC 127123	ind1A
E 2070::IRGC 67981-1::[IRIS 313-11746]	IRIS 313-11746	IRGC 127349	ind1A
E 4197::IRGC 68004-1::[IRIS 313-11747]	IRIS 313-11747	IRGC 127350	indx
GAO JIAO YING GAN ZHAN::IRGC 68053-1::[IRIS 313-11748]	IRIS 313-11748	IRGC 127378	indx
L 10595::IRGC 68109-1::[IRIS 313-11750]	IRIS 313-11750	IRGC 127538	indx
L 10833::IRGC 68121-1::[IRIS 313-11751]	IRIS 313-11751	IRGC 127539	indx
BORIZINA 640::IRGC 68382-1::[IRIS 313-11757]	IRIS 313-11757	IRGC 131972	ind3
BAHN DAENG::IRGC 65771-1::[IRIS 313-11704]	IRIS 313-11704		ind3
FOFFI::IRGC 68438-1::[IRIS 313-11758]	IRIS 313-11758	IRGC 131987	ind2
NS 199::IRGC 68864-1::[IRIS 313-11761]	IRIS 313-11761	IRGC 127683	ind2
NS 1515::IRGC 68947-1::[IRIS 313-11762]	IRIS 313-11762	IRGC 127682	ind2
PJ 110::IRGC 68981-1::[IRIS 313-11763]	IRIS 313-11763	IRGC 127734	indx
P 41::IRGC 68987-1::[IRIS 313-11764]	IRIS 313-11764	IRGC 127697	ind3
VARY LAVA DE BOLOGNE::IRGC 69101-1::[IRIS 313-11767]	IRIS 313-11767	IRGC 128496	admix
DAWK PUD KHAO::IRGC 65808-1::[IRIS 313-11705]	IRIS 313-11705	IRGC 127303	ind3
AUS 78-125::IRGC 69464-1::[IRIS 313-11773]	IRIS 313-11773	IRGC 132275	ind3
KHAO' NOK 4::IRGC 65932-1::[IRIS 313-11706]	IRIS 313-11706	IRGC 132001	ind3
KILOMBERO::IRGC 69698-1::[IRIS 313-11780]	IRIS 313-11780	IRGC 127524	ind3
MAMA TABALI::IRGC 69720-1::[IRIS 313-11783]	IRIS 313-11783	IRGC 132015	indx
MBEIMBEIHUN::IRGC 69730-1::[IRIS 313-11784]	IRIS 313-11784	IRGC 127619	ind1B
N'YA NOFF::IRGC 69749-1::[IRIS 313-11786]	IRIS 313-11786	IRGC 128411	ind3
TANDAKAY FINGO::IRGC 69793-1::[IRIS 313-11787]	IRIS 313-11787	IRGC 127845	ind2
KHAO SAHKORN::IRGC 65948-1::[IRIS 313-11707]	IRIS 313-11707	IRGC 132403	ind3
SABORAMANDALOAFO::IRGC 69875-1::[IRIS 313-11789]	IRIS 313-11789	IRGC 127774	ind2
FAN WU::IRGC 70245-1::[IRIS 313-11801]	IRIS 313-11801	IRGC 127368	indx
QUN XUAN ZAO::IRGC 70371-1::[IRIS 313-11804]	IRIS 313-11804	IRGC 128441	ind1A
XI HONG GU::IRGC 70416-1::[IRIS 313-11805]	IRIS 313-11805	IRGC 127895	ind1A
78 XUAN WU::IRGC 70475-1::[IRIS 313-11806]	IRIS 313-11806	IRGC 127101	ind1A
R 582::IRGC 70504-1::[IRIS 313-11807]	IRIS 313-11807	IRGC 127757	indx
PULURE::IRGC 70647-1::[IRIS 313-11810]	IRIS 313-11810	IRGC 132036	ind3
MOSHI::IRGC 70648-1::[IRIS 313-11811]	IRIS 313-11811	IRGC 127632	ind2
ASFALA::IRGC 70650-1::[IRIS 313-11812]	IRIS 313-11812	IRGC 127175	ind3
ZERO::IRGC 70707-2::[IRIS 313-11813]	IRIS 313-11813	IRGC 132372	ind3
KIKUBA::IRGC 70722-1::[IRIS 313-11814]	IRIS 313-11814	IRGC 127523	ind3
MOSHI::IRGC 70730-1::[IRIS 313-11815]	IRIS 313-11815	IRGC 127633	ind3
KARILETYONE::IRGC 70745-1::[IRIS 313-11816]	IRIS 313-11816	IRGC 127493	indx
KHAOSAING::IRGC 70746-2::[IRIS 313-11817]	IRIS 313-11817	IRGC 128085	indx
PADINTHUMA::IRGC 70762-2::[IRIS 313-11819]	IRIS 313-11819	IRGC 132362	ind3
PAKISTANHMWE::IRGC 70763-1::[IRIS 313-11820]	IRIS 313-11820	IRGC 127709	ind3
19::IRGC 70786-1::[IRIS 313-11821]	IRIS 313-11821	IRGC 127096	ind2
BHU BHUSI::IRGC 70803-1::[IRIS 313-11823]	IRIS 313-11823	IRGC 127223	ind2
KARI GURMATIA::IRGC 70850-1::[IRIS 313-11827]	IRIS 313-11827		ind2
LALI GURMATIA::IRGC 70854-1::[IRIS 313-11828]	IRIS 313-11828	IRGC 127544	ind2
KANDEKE YAIGAITI::IRGC 70961-1::[IRIS 313-11830]	IRIS 313-11830	IRGC 132400	ind3
DA GU AI 7::IRGC 70075-1::[IRIS 313-11795]	IRIS 313-11795	IRGC 127291	ind1A
BOO MAE::IRGC 71058-1::[IRIS 313-11833]	IRIS 313-11833	IRGC 132276	ind3
E NOI NAH::IRGC 71138-1::[IRIS 313-11835]	IRIS 313-11835	IRGC 128287	indx
KHAO KO RAOH::IRGC 71208-1::[IRIS 313-11836]	IRIS 313-11836	IRGC 132000	ind3
